,dbn,school_name,primary_address_line_1,city,num of sat test takers,sat critical reading avg. score,sat math avg. score,sat writing avg. score,total cohort  - june,total math/ela apm - june,% of cohort - june,total cohort  - august,total math/ela apm - august,% of cohort - august,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,student_satisfaction_2013,ontrack_year1_2012,graduation_rate_2012,college_career_rate_2012,student_satisfaction_2012
0,01M292,Henry Street School for International Studies,220 Henry Street,New York,29,355,404,363,78,7,9%,78,7,9%,62%,58%,32%,7.1,81%,51%,40%,6.3
1,01M448,University Neighborhood High School,200 Monroe Street,New York,91,383,423,366,124,17,13.7%,124,17,13.7%,83%,78%,55%,7.5,92%,74%,67%,6.6
2,01M450,East Side Community School,420 East 12 Street,New York,70,377,402,370,,,,,,,92%,76%,58%,8.4,92%,73%,56%,7.3
3,01M509,Marta Valle High School,145 Stanton Street,New York,44,390,433,384,84,14,16.7%,84,14,16.7%,59%,36%,38%,6.5,69%,60%,48%,6.5
4,01M539,"New Explorations into Science, Technology and Math High School",111 Columbia Street,New York,159,522,574,525,46,42,91.3%,46,42,91.3%,99%,98%,84%,7.6,97%,98%,83%,7.2
5,01M696,Bard High School Early College,525 East Houston Street,New York,130,624,604,628,139,99,71.2%,139,100,71.9%,96%,98%,94%,8.2,96%,97%,97%,8.0
6,02M047,47 The American Sign Language and English Secondary School,223 East 23 Street,New York,16,395,400,387,25,1,4%,25,1,4%,98%,71%,42%,7.5,68%,55%,30%,7.3
7,02M135,The Urban Assembly School for Emergency Management,439 West 49Th Street,New York,,,,,,,,,,,,,,,,,,
8,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,411 Pearl Street,New York,,,,,,,,,,,,,,,,,,
9,02M260,M.S. 260 Clinton School Writers & Artists,425 West 33Rd Street,Manhattan,,,,,,,,,,,,,,,,,,
10,02M280,Manhattan Early College School for Advertising,411 Pearl Street,New York,,,,,,,,,,,,,,,,,,
11,02M282,Urban Assembly Maker Academy,411 Peal Street,New York,,,,,,,,,,,,,,,,,,
12,02M288,Food and Finance High School,525 West 50Th Street,New York,62,409,393,392,102,14,13.7%,102,14,13.7%,89%,84%,53%,6.8,89%,77%,60%,6.6
13,02M294,Essex Street Academy,350 Grand Street,New York,53,394,384,378,,,,,,,90%,65%,49%,7.9,90%,77%,61%,7.5
14,02M296,High School of Hospitality Management,525 West 50Th Street,New York,58,374,375,362,75,14,18.7%,75,14,18.7%,82%,66%,52%,7.3,87%,78%,43%,7.1
15,02M298,Pace High School,100 Hester Street,New York,85,423,438,432,92,28,30.4%,92,28,30.4%,94%,89%,69%,7.5,90%,87%,79%,7.0
16,02M300,"Urban Assembly School of Design and Construction, The",525 West 50Th Street,New York,48,404,449,416,80,12,15%,80,12,15%,73%,55%,55%,6.8,61%,61%,47%,6.5
17,02M303,"Facing History School, The",525 West 50Th Street,New York,76,353,358,340,,,,,,,78%,62%,52%,7.8,77%,65%,43%,6.9
18,02M305,"Urban Assembly Academy of Government and Law, The",350 Grand Street,New York,50,375,388,385,61,3,4.9%,61,3,4.9%,83%,83%,60%,6.8,79%,78%,64%,6.3
19,02M308,Lower Manhattan Arts Academy,350 Grand Street,New York,40,403,392,405,68,5,7.4%,68,5,7.4%,67%,75%,52%,7.2,75%,68%,59%,6.7
20,02M316,"Urban Assembly School of Business for Young Women, the",26 Broadway,New York,42,373,370,384,72,5,6.9%,72,5,6.9%,77%,75%,48%,6.9,80%,71%,64%,6.9
21,02M374,Gramercy Arts High School,40 Irving Place,New York,60,391,391,394,93,3,3.2%,93,3,3.2%,82%,77%,50%,6.9,82%,74%,48%,6.7
22,02M376,NYC iSchool,131 Avenue Of The Americas,New York,92,473,483,479,,,,,,,98%,94%,86%,7.9,96%,95%,,7.7
23,02M392,MANHATTAN BUSINESS ACADEMY,351 West 18 Street,New York,,,,,,,,,,,83%,86%,,7.5,80%,,,7.0
24,02M393,BUSINESS OF SPORTS SCHOOL,439 West 49Th Street,New York,,,,,,,,,,,72%,72%,,7.4,81%,,,6.7
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 Irving Place,New York,,,,,,,,,,,77%,67%,,7.1,65%,,,6.5
26,02M400,High School for Environmental Studies,444 West 56 Street,New York,263,465,493,461,352,122,34.7%,352,129,36.6%,85%,83%,64%,7.4,79%,82%,81%,6.9
27,02M407,Institute for Collaborative Education,345 East 15Th Street,New York,54,492,465,467,,,,,,,100%,94%,58%,8.2,98%,86%,57%,7.8
