0,Henry Street School for International Studies
1,University Neighborhood High School
2,East Side Community School
3,Marta Valle High School
4,"New Explorations into Science, Technology and Math High School"
5,Bard High School Early College
6,47 The American Sign Language and English Secondary School
7,The Urban Assembly School for Emergency Management
8,Stephen T. Mather Building Arts & Craftsmanship High School
9,M.S. 260 Clinton School Writers & Artists
10,Manhattan Early College School for Advertising
11,Urban Assembly Maker Academy
12,Food and Finance High School
13,Essex Street Academy
14,High School of Hospitality Management
15,Pace High School
16,"Urban Assembly School of Design and Construction, The"
17,"Facing History School, The"
18,"Urban Assembly Academy of Government and Law, The"
19,Lower Manhattan Arts Academy
20,"Urban Assembly School of Business for Young Women, the"
21,Gramercy Arts High School
22,NYC iSchool
23,MANHATTAN BUSINESS ACADEMY
24,BUSINESS OF SPORTS SCHOOL
25,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
26,High School for Environmental Studies
27,Institute for Collaborative Education
28,Professional Performing Arts High School
29,Baruch College Campus High School
30,N.Y.C. Lab School for Collaborative Studies
31,School of the Future High School
32,N.Y.C. Museum School
33,Eleanor Roosevelt High School
34,Millennium High School
35,Landmark High School
36,High School for Health Professions and Human Services
37,Quest to Learn
38,Leadership and Public Service High School
39,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
40,Murray Hill Academy
41,Hudson High School of Learning Technologies
42,International High School at Union Square
43,Manhattan Village Academy
44,Vanguard High School
45,Manhattan International High School
46,Stuyvesant High School
47,High School of Economics and Finance
48,Unity Center for Urban Technologies
49,Urban Assembly Gateway School for Technology
50,Talent Unlimited High School
51,Murry Bergtraum High School for Business Careers
52,Jacqueline Kennedy Onassis High School
53,Repertory Company High School for Theatre Arts
54,Union Square Academy for Health Sciences
55,Harvest Collegiate High School
56,Manhattan Bridges High School
57,New Design High School
58,High School for Dual Language and Asian Studies
59,Academy for Software Engineering
60,Urban Assembly New York Harbor School
61,Richard R. Green High School of Teaching
62,The High School of Fashion Industries
63,Humanities Preparatory Academy
64,Chelsea Career and Technical Education High School
65,Art and Design High School
66,Life Sciences Secondary School
67,"High School for Arts, Imagination and Inquiry"
68,"Urban Assembly School for Media Studies, The"
69,The Urban Assembly School for Green Careers
70,The Global Learning Collaborative
71,Wadleigh Secondary School for the Performing & Visual Arts
72,FRANK McCOURT HIGH SCHOOL
73,Beacon High School
74,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
75,"High School for Law, Advocacy and Community Justice"
76,High School of Arts and Technology
77,Manhattan / Hunter Science High School
78,Special Music School
79,Frederick Douglass Academy II Secondary School
80,ESPERANZA PREPARATORY ACADEMY
81,Coalition School for Social Change
82,Manhattan Center for Science and Mathematics
83,Park East High School
84,Central Park East High School
85,Young Women's Leadership School
86,"Heritage School, The"
87,The Urban Assembly School for Global Commerce
88,Mott Hall High School
89,Columbia Secondary School
90,Academy for Social Action: A College Board School
91,Urban Assembly School for the Performing Arts
92,Frederick Douglass Academy
93,Thurgood Marshall Academy for Learning and Social Change
94,"High School for Mathematics, Science and Engineering at City College"
95,Inwood Early College for Health and Information Technologies
96,City College Academy of the Arts
97,Community Health Academy of the Heights
98,Washington Heights Expeditionary Learning School
99,High School for Excellence and Innovation
100,The College Academy
101,High School for Media and Communications
102,High School for Law and Public Service
103,High School for Health Careers and Sciences
104,A. Philip Randolph Campus High School
105,Gregorio Luperon High School for Science and Mathematics
106,South Bronx Preparatory: A College Board School
107,M.S. 223 The Laboratory School of Finance and Technology
108,"H.E.R.O. High (Health, Education, and Research Occupations High School)"
109,International Community High School
110,Community School for Social Justice
111,Mott Haven Village Preparatory High School
112,University Heights Secondary School
113,Hostos-Lincoln Academy of Science
114,Foreign Language Academy of Global Studies
115,Bronx Design and Construction Academy
116,Bronx Leadership Academy II High School
117,New Explorers High School
118,Urban Assembly School for Careers in Sports
119,The Urban Assembly Bronx Academy of Letters
120,Alfred E. Smith Career and Technical Education High School
121,Health Opportunities High School
122,Bronx Studio School for Writers and Artists
123,Women's Academy of Excellence
124,Renaissance High School for Musical Theater & Technology
125,Pablo Neruda Academy
126,Millennium Art Academy
127,Pelham Lab High School
128,Holcombe L. Rucker School of Community Research
129,Schuylerville Preparatory High School
130,Bronx River High School
131,"Archimedes Academy for Math, Science and Technology Applications"
132,Antonia Pantoja Preparatory Academy: A College Board School
133,Herbert H. Lehman High School.
134,BRONX BRIDGES HIGH SCHOOL
135,Bronx Guild
136,"Felisa Rincon de Gautier Institute for Law and Public Policy, The"
137,Banana Kelly High School
138,Westchester Square Academy
139,School for Tourism and Hospitality
140,Bronx Compass High School
141,Bronx Collegiate Academy
142,Eagle Academy for Young Men
143,"Urban Assembly School for Applied Math and Science, The"
144,Eximius College Preparatory Academy: A College Board School
145,Mott Hall Bronx High School
146,Bronx Center for Science and Mathematics
147,Validus Preparatory Academy: An Expeditionary Learning School
148,Leadership Institute
149,Morris Academy for Collaborative Studies
150,Bronx Early College Academy for Teaching & Learning
151,Comprehensive Model School Project M.S. 327
152,DreamYard Preparatory School
153,New Directions Secondary School
154,Academy for Language and Technology
155,Bronx International High School
156,School for Excellence
157,Bronx High School of Business
158,Bronx High School for Medical Science
159,"Bronx School for Law, Government and Justice"
160,Frederick Douglass Academy III Secondary School
161,Bronx Leadership Academy High School
162,High School for Violin and Dance
163,Claremont International HS
164,Riverdale / Kingsbridge Academy (Middle School / High School 141)
165,Bronx Engineering and Technology Academy
166,Theatre Arts Production Company School
167,"The Marie Curie School for Medicine, Nursing, and Health Professions"
168,West Bronx Academy for the Future
